Name;Max Phase;Molecular Weight;AlogP;Topological Polar Surface Area;Rotatable Bond Count;Inorganic Flag;Heavy Atom Count;Hydrogen Bond Acceptor Count;Hydrogen Bond Donor Count;Molecular Formula;positive charge;negative charge;target system;double bond equivalents
METHENOLONE ACETATE;0;344.5;4.7;43.37;1.0;0;25.0;3.0;0.0;C22H32O3;0;0;GASTRIC / METABOLISM;7.0
HYDROCHLORIC ACID;0;36.46;0.42;0.0;0.0;0;1.0;0.0;0.0;HCl;0;1;GASTRIC / METABOLISM;0.0
ARGININE GLUTAMATE;3;321.33;-3.984734945214228;228.0;9.0;0;22.0;9.0;7.0;C11H23N5O6;0;0;GASTRIC / METABOLISM;3.0
EPOMEDIOL;0;186.25;0.69;49.69;0.0;0;13.0;3.0;2.0;C10H18O3;0;0;GASTRIC / METABOLISM;2.0
HYDROTALCITE;4;603.97;3.809323898044989;83.2;0.0;0;32.0;23.0;20.0;CH24Al2Mg6O23;0;0;GASTRIC / METABOLISM;0.0
ETHYLESTRENOL;4;288.48;5.09;20.23;1.0;0;21.0;1.0;1.0;C20H32O;0;0;GASTRIC / METABOLISM;5.0
MAGNESIUM LEVULINATE;0;254.52;0.44;54.37;3.0;0;8.0;3.0;1.0;C10H14MgO6;0;1;GASTRIC / METABOLISM;4.0
OLAFLUR;0;498.78;5.22;67.17;27.0;0;32.0;5.0;3.0;C27H60F2N2O3;1;0;GASTRIC / METABOLISM;0.0
MAGNESIA, [MILK OF];4;58.32;-1.0;2.0;0.0;1;3.0;2.0;2.0;H2MgO2;0;0;GASTRIC / METABOLISM;0.0
SUCCINYLSULFATHIAZOLE;0;355.4;1.75;125.46;7.0;0;23.0;8.0;3.0;C13H13N3O5S2;0;1;GASTRIC / METABOLISM;9.0
MICONAZOLE;4;416.14;6.45;27.05;6.0;0;25.0;3.0;0.0;C18H14Cl4N2O;0;0;GASTRIC / METABOLISM;11.0
ZINC GLUCONATE;3;455.68;-4.103041849331703;283.0;8.0;0;27.0;14.0;10.0;C12H22O14Zn;0;0;GASTRIC / METABOLISM;2.0
MORPHINE;4;285.34;1.2;52.93;0.0;0;21.0;4.0;2.0;C17H19NO3;1;0;GASTRIC / METABOLISM;9.0
HYDROCORTISONE CYPIONATE;4;486.65;4.3;100.9;6.0;0;35.0;6.0;2.0;C29H42O6;0;0;GASTRIC / METABOLISM;9.0
AMLEXANOX;4;298.3;2.75;106.42;2.0;0;22.0;6.0;3.0;C16H14N2O4;0;1;GASTRIC / METABOLISM;11.0
GEFARNATE;3;400.65;8.42;26.3;14.0;0;29.0;2.0;0.0;C27H44O2;0;0;GASTRIC / METABOLISM;6.0
NEOMYCIN;4;614.6;-2.0181844675880463;353.0;9.0;0;42.0;19.0;13.0;C23H46N6O13;0;0;GASTRIC / METABOLISM;4.0
PIPENZOLATE;4;354.47;3.09;46.53;5.0;0;26.0;4.0;1.0;C22H28NO3+;1;0;GASTRIC / METABOLISM;10.0
BETAMETHASONE VALERATE;4;476.59;3.64;100.9;6.0;0;34.0;6.0;2.0;C27H37FO6;0;0;GASTRIC / METABOLISM;9.0
NIACINAMIDE;4;122.13;0.18;55.98;1.0;0;9.0;3.0;2.0;C6H6N2O;0;0;GASTRIC / METABOLISM;5.0
BENZILONIUM;0;354.47;3.09;46.53;6.0;0;26.0;4.0;1.0;C22H28NO3+;1;0;GASTRIC / METABOLISM;10.0
PANTETHINE;3;554.73;-1.63;197.32;19.0;0;36.0;12.0;8.0;C22H42N4O8S2;0;0;GASTRIC / METABOLISM;4.0
CASTOR OIL;4;933.4;4.289987948487985;140.0;53.0;0;66.0;9.0;3.0;C57H104O9;0;0;GASTRIC / METABOLISM;6.0
MAGNESIUM OXIDE;4;40.3;-2.163991690846297;17.1;0.0;1;2.0;1.0;0.0;MgO;0;0;GASTRIC / METABOLISM;0.0
PIRENZEPINE;4;351.41;1.56;68.78;2.0;0;26.0;7.0;1.0;C19H21N5O2;0;0;GASTRIC / METABOLISM;12.0
TRIMETHYLDIPHENYLPROPYLAMINE;0;253.39;4.16;3.24;5.0;0;19.0;1.0;0.0;C18H23N;1;0;GASTRIC / METABOLISM;8.0
FENPIPRANE;0;279.43;4.69;3.24;5.0;0;21.0;1.0;0.0;C20H25N;1;0;GASTRIC / METABOLISM;9.0
CLIDINIUM BROMIDE;4;432.36;2.7;46.53;4.0;0;26.0;4.0;1.0;C22H26BrNO3;0;0;GASTRIC / METABOLISM;10.0
BIOTIN;4;244.32;0.8;78.43;5.0;0;16.0;5.0;3.0;C10H16N2O3S;0;1;GASTRIC / METABOLISM;4.0
CASOPITANT;3;616.62;6.65;47.1;4.0;0;43.0;6.0;0.0;C30H35F7N4O2;0;0;GASTRIC / METABOLISM;12.0
CALCIUM CITRATE;4;498.43;-3.308112700483255;281.0;4.0;0;29.0;14.0;2.0;C12H10Ca3O14;0;0;GASTRIC / METABOLISM;8.0
CHOLIC ACID;4;408.58;3.45;97.99;4.0;0;29.0;5.0;4.0;C24H40O5;0;1;GASTRIC / METABOLISM;5.0
BECLOMETHASONE DIPROPIONATE;4;521.05;4.09;106.97;6.0;0;36.0;7.0;1.0;C28H37ClO7;0;0;GASTRIC / METABOLISM;10.0
ALUMINUM HYDROXIDE;4;78.0;-1.0;3.0;0.0;1;4.0;3.0;3.0;H3AlO3;0;0;GASTRIC / METABOLISM;0.0
CHLORPROPAMIDE;4;276.75;1.74;75.27;4.0;0;17.0;5.0;2.0;C10H13ClN2O3S;0;1;GASTRIC / METABOLISM;5.0
OXYPHENONIUM;4;348.51;3.48;46.53;8.0;0;25.0;4.0;1.0;C21H34NO3+;1;0;GASTRIC / METABOLISM;6.0
DEXAMETHASONE SODIUM PHOSPHATE;4;516.41;2.01;141.36;4.0;0;32.0;8.0;4.0;C22H28FNa2O8P;0;1;GASTRIC / METABOLISM;8.5
NALDEMEDINE;4;570.65;3.48;141.18;6.0;0;42.0;10.0;4.0;C32H34N4O6;1;0;GASTRIC / METABOLISM;18.0
SAXAGLIPTIN;4;333.43;1.16;90.35;2.0;0;23.0;5.0;3.0;C18H27N3O3;0;0;GASTRIC / METABOLISM;7.0
BENFLUOREX;4;351.37;4.08;38.33;7.0;0;25.0;3.0;1.0;C19H20F3NO2;1;0;GASTRIC / METABOLISM;9.0
REBAMIPIDE;3;370.79;2.61;99.26;5.0;0;26.0;6.0;3.0;C19H15ClN2O4;0;1;GASTRIC / METABOLISM;13.0
PRUCALOPRIDE;4;367.88;2.09;76.82;6.0;0;25.0;6.0;3.0;C18H26ClN3O3;1;0;GASTRIC / METABOLISM;7.0
NATEGLINIDE;4;317.43;3.26;66.4;6.0;0;23.0;4.0;2.0;C19H27NO3;0;1;GASTRIC / METABOLISM;7.0
METHYLNALTREXONE BROMIDE;4;436.35;1.67;66.76;2.0;0;26.0;5.0;2.0;C21H26BrNO4;0;0;GASTRIC / METABOLISM;9.0
MAGNESIUM PEROXIDE;0;56.3;-9.007370054590096;46.1;0.0;1;3.0;2.0;0.0;MgO2;0;0;GASTRIC / METABOLISM;0.0
INOSITOL;3;180.16;-3.83;121.38;0.0;0;12.0;6.0;6.0;C6H12O6;0;0;GASTRIC / METABOLISM;1.0
HYOSCYAMINE;4;289.37;1.93;49.77;4.0;0;21.0;4.0;1.0;C17H23NO3;1;0;GASTRIC / METABOLISM;7.0
ADRENALONE;0;181.19;0.5;69.56;3.0;0;13.0;4.0;3.0;C9H11NO3;0;0;GASTRIC / METABOLISM;5.0
GLISOXEPIDE;0;449.53;1.73;133.64;7.0;0;31.0;10.0;3.0;C20H27N5O5S;0;1;GASTRIC / METABOLISM;10.0
HYDROGEN PEROXIDE;4;34.01;0.02;40.46;0.0;0;2.0;2.0;2.0;H2O2;0;0;GASTRIC / METABOLISM;0.0
PIOGLITAZONE;4;356.45;3.16;68.29;7.0;0;25.0;5.0;1.0;C19H20N2O3S;0;0;GASTRIC / METABOLISM;11.0
OMEPRAZOLE;4;345.42;2.9;77.1;5.0;0;24.0;6.0;1.0;C17H19N3O3S;0;0;GASTRIC / METABOLISM;10.0
FAMOTIDINE;4;337.46;-0.77;175.83;7.0;0;20.0;9.0;8.0;C8H15N7O2S3;0;0;GASTRIC / METABOLISM;5.0
CLEBOPRIDE;4;373.88;3.33;67.59;5.0;0;26.0;5.0;3.0;C20H24ClN3O2;1;0;GASTRIC / METABOLISM;10.0
VALETHAMATE;0;306.47;3.85;26.3;9.0;0;22.0;3.0;0.0;C19H32NO2+;1;0;GASTRIC / METABOLISM;5.0
MOSAPRIDE;3;421.9;3.09;76.82;7.0;0;29.0;6.0;3.0;C21H25ClFN3O3;0;0;GASTRIC / METABOLISM;10.0
NIFURZIDE;0;336.29;2.59;140.88;6.0;0;23.0;10.0;1.0;C12H8N4O6S;0;0;GASTRIC / METABOLISM;11.0
ZINC ACETATE;4;219.51;-2.5376724979944907;80.3;0.0;0;9.0;4.0;0.0;C4H10O6Zn;0;0;GASTRIC / METABOLISM;0.0
POTASSIUM BITARTRATE;4;188.18;-4.349796249348149;118.0;3.0;0;11.0;6.0;3.0;C4H5KO6;0;0;GASTRIC / METABOLISM;2.5
SULBUTIAMINE;0;702.9;4.69;196.82;19.0;0;48.0;14.0;4.0;C32H46N8O6S2;0;0;GASTRIC / METABOLISM;14.0
NIFUROXAZIDE;4;275.22;1.66;117.97;4.0;0;20.0;8.0;2.0;C12H9N3O5;0;0;GASTRIC / METABOLISM;10.0
BETAINE HYDROCHLORIDE;4;153.61;-0.22;37.3;2.0;0;8.0;3.0;1.0;C5H12ClNO2;0;1;GASTRIC / METABOLISM;0.0
CALCITRIOL;4;416.65;5.7;60.69;6.0;0;30.0;3.0;3.0;C27H44O3;0;0;GASTRIC / METABOLISM;6.0
ROSIGLITAZONE;4;357.44;2.49;71.53;7.0;0;25.0;6.0;1.0;C18H19N3O3S;0;0;GASTRIC / METABOLISM;11.0
CAMYLOFIN;0;320.48;3.25;41.57;11.0;0;23.0;4.0;1.0;C19H32N2O2;1;0;GASTRIC / METABOLISM;5.0
PAPAVERINE;4;339.39;3.86;49.81;6.0;0;25.0;5.0;0.0;C20H21NO4;0;0;GASTRIC / METABOLISM;11.0
DROTAVERINE;3;397.52;4.93;48.95;9.0;0;29.0;5.0;1.0;C24H31NO4;0;0;GASTRIC / METABOLISM;10.0
PIPERIDOLATE;4;323.44;3.85;29.54;5.0;0;24.0;3.0;0.0;C21H25NO2;0;0;GASTRIC / METABOLISM;10.0
SOTAGLIFLOZIN;4;424.95;3.17;79.15;6.0;0;28.0;5.0;3.0;C21H25ClO5S;0;0;GASTRIC / METABOLISM;9.0
BISMUTH SUBNITRATE;0;1461.98;-2.0652190557358683;262.0;0.0;1;31.0;22.0;9.0;H9Bi5N4O22;0;0;GASTRIC / METABOLISM;0.0
RANITIDINE BISMUTH CITRATE;4;712.49;1.46;83.58;10.0;0;21.0;7.0;2.0;C19H27BiN4O10S;0;0;GASTRIC / METABOLISM;8.5
LANSOPRAZOLE;4;369.37;3.52;67.87;5.0;0;25.0;5.0;1.0;C16H14F3N3O2S;0;0;GASTRIC / METABOLISM;10.0
CLOTRIMAZOLE;4;344.85;5.38;17.82;4.0;0;25.0;2.0;0.0;C22H17ClN2;0;0;GASTRIC / METABOLISM;15.0
TIEMONIUM IODIDE;0;445.37;2.85;29.46;5.0;0;22.0;3.0;1.0;C18H24INO2S;0;0;GASTRIC / METABOLISM;7.0
EMPAGLIFLOZIN;4;450.92;1.61;108.61;6.0;0;31.0;7.0;4.0;C23H27ClO7;0;0;GASTRIC / METABOLISM;10.0
TROPISETRON;4;284.36;2.95;45.33;2.0;0;21.0;4.0;1.0;C17H20N2O2;1;0;GASTRIC / METABOLISM;9.0
PRASTERONE;4;288.43;3.88;37.3;0.0;0;21.0;2.0;1.0;C19H28O2;0;0;GASTRIC / METABOLISM;6.0
GLIQUIDONE;4;527.64;3.52;121.88;7.0;0;37.0;9.0;2.0;C27H33N3O6S;0;1;GASTRIC / METABOLISM;13.0
NIZATIDINE;4;331.47;1.32;83.33;10.0;0;21.0;7.0;2.0;C12H21N5O2S2;0;0;GASTRIC / METABOLISM;5.0
METOCLOPRAMIDE;4;299.8;2.0;67.59;7.0;0;20.0;5.0;3.0;C14H22ClN3O2;1;0;GASTRIC / METABOLISM;5.0
VITAMIN E;4;430.7;5.464170342026256;29.5;12.0;0;31.0;2.0;1.0;C29H50O2;0;0;GASTRIC / METABOLISM;5.0
RIFAXIMIN;4;785.89;6.16;198.38;2.0;0;57.0;14.0;5.0;C43H51N3O11;0;1;GASTRIC / METABOLISM;20.0
RABEPRAZOLE;4;359.45;2.99;77.1;8.0;0;25.0;6.0;1.0;C18H21N3O3S;0;0;GASTRIC / METABOLISM;10.0
PYRIDOXINE;4;169.18;0.08;73.58;2.0;0;12.0;4.0;3.0;C8H11NO3;0;0;GASTRIC / METABOLISM;4.0
MEPENZOLATE;4;340.44;2.7;46.53;4.0;0;25.0;4.0;1.0;C21H26NO3+;1;0;GASTRIC / METABOLISM;10.0
PREDNISONE;4;358.43;1.77;91.67;2.0;0;26.0;5.0;2.0;C21H26O5;0;0;GASTRIC / METABOLISM;9.0
TRIMEBUTINE;3;387.48;3.74;57.23;9.0;0;28.0;6.0;0.0;C22H29NO5;1;0;GASTRIC / METABOLISM;9.0
VOGLIBOSE;3;267.28;-4.49;153.64;5.0;0;18.0;8.0;8.0;C10H21NO7;0;0;GASTRIC / METABOLISM;1.0
PENTHIENATE;0;340.51;3.16;46.53;8.0;0;23.0;4.0;1.0;C18H30NO3S+;1;0;GASTRIC / METABOLISM;5.0
GLUTAMINE;4;146.15;-1.34;106.41;4.0;0;10.0;5.0;5.0;C5H10N2O3;1;1;GASTRIC / METABOLISM;2.0
OLSALAZINE;4;302.24;2.91;139.78;4.0;0;22.0;8.0;4.0;C14H10N2O6;0;1;GASTRIC / METABOLISM;11.0
APREPITANT;4;534.43;4.95;83.24;6.0;0;37.0;7.0;2.0;C23H21F7N4O3;0;0;GASTRIC / METABOLISM;12.0
GLYCYRRHIZIN;2;822.94;2.25;267.04;7.0;0;58.0;16.0;8.0;C42H62O16;0;1;GASTRIC / METABOLISM;12.0
ACETOHEXAMIDE;4;324.4;2.21;92.34;4.0;0;22.0;6.0;2.0;C15H20N2O4S;0;1;GASTRIC / METABOLISM;7.0
PHENFORMIN;4;205.26;0.24;97.78;3.0;0;15.0;5.0;6.0;C10H15N5;1;0;GASTRIC / METABOLISM;6.0
CANAGLIFLOZIN;4;462.54;2.97;90.15;5.0;0;31.0;5.0;4.0;C24H27FO6S;0;0;GASTRIC / METABOLISM;11.0
MAZINDOL;4;284.75;2.61;35.83;1.0;0;20.0;3.0;1.0;C16H13ClN2O;0;0;GASTRIC / METABOLISM;11.0
RETINOL;4;286.46;5.51;20.23;5.0;0;21.0;1.0;1.0;C20H30O;0;0;GASTRIC / METABOLISM;6.0
OBETICHOLIC ACID;4;420.63;5.11;77.76;5.0;0;30.0;4.0;3.0;C26H44O4;0;1;GASTRIC / METABOLISM;5.0
DEXPANTHENOL;4;205.25;-1.14;89.79;6.0;0;14.0;5.0;4.0;C9H19NO4;0;0;GASTRIC / METABOLISM;1.0
LIPOIC ACID, ALPHA;4;206.33;2.79;37.3;5.0;0;12.0;2.0;1.0;C8H14O2S2;0;1;GASTRIC / METABOLISM;2.0
SODIUM SELENATE;0;188.94;-5.096868132450782;80.3;0.0;1;7.0;4.0;0.0;Na2O4Se;0;0;GASTRIC / METABOLISM;0.0
BETAMETHASONE;4;392.47;1.9;94.83;2.0;0;28.0;5.0;3.0;C22H29FO5;0;0;GASTRIC / METABOLISM;8.0
ERGOCALCIFEROL;4;396.66;7.64;20.23;5.0;0;29.0;1.0;1.0;C28H44O;0;0;GASTRIC / METABOLISM;7.0
MOXAVERINE;2;307.39;4.41;31.35;5.0;0;23.0;3.0;0.0;C20H21NO2;0;0;GASTRIC / METABOLISM;11.0
METFORMIN;4;129.17;-1.03;88.99;0.0;0;9.0;5.0;5.0;C4H11N5;1;0;GASTRIC / METABOLISM;2.0
PINAVERIUM;4;511.52;5.29;36.92;10.0;0;32.0;5.0;0.0;C26H41BrNO4+;1;0;GASTRIC / METABOLISM;7.0
FENPIVERINIUM;0;337.49;3.48;43.09;6.0;0;25.0;3.0;2.0;C22H29N2O+;1;0;GASTRIC / METABOLISM;10.0
NANDROLONE CYCLOTATE;0;422.61;6.18;43.37;2.0;0;31.0;3.0;0.0;C28H38O3;0;0;GASTRIC / METABOLISM;10.0
LAFUTIDINE;3;431.56;2.66;84.67;11.0;0;30.0;7.0;1.0;C22H29N3O4S;0;0;GASTRIC / METABOLISM;10.0
ITOPRIDE;3;358.44;2.57;60.03;9.0;0;26.0;6.0;1.0;C20H26N2O4;1;0;GASTRIC / METABOLISM;9.0
SODIUM PHENYLBUTYRATE;4;186.19;2.09;37.3;4.0;0;12.0;2.0;1.0;C10H11NaO2;0;1;GASTRIC / METABOLISM;5.5
SODIUM SULFATE;4;322.19;-6.287228742001746;88.6;0.0;1;7.0;4.0;0.0;H20Na2O14S;0;0;GASTRIC / METABOLISM;0.0
CITIOLONE;0;159.21;0.15;46.17;1.0;0;10.0;3.0;1.0;C6H9NO2S;0;0;GASTRIC / METABOLISM;3.0
DIHYDROTACHYSTEROL;4;398.68;7.72;20.23;5.0;0;29.0;1.0;1.0;C28H46O;0;0;GASTRIC / METABOLISM;6.0
ORNITHINE OXOGLURATE;0;278.26;-0.86;89.34;4.0;0;9.0;4.0;5.0;C10H18N2O7;1;1;GASTRIC / METABOLISM;3.0
CALCIUM GLUCEPTATE;4;490.42;-4.040671757944427;323.0;10.0;0;31.0;16.0;12.0;C14H26CaO16;0;0;GASTRIC / METABOLISM;2.0
BROXYQUINOLINE;0;302.95;3.47;33.12;0.0;0;13.0;2.0;1.0;C9H5Br2NO;0;0;GASTRIC / METABOLISM;7.0
NATAMYCIN;4;665.73;0.12;230.99;3.0;0;47.0;14.0;8.0;C33H47NO13;1;1;GASTRIC / METABOLISM;11.0
LACTULOSE;4;342.3;-5.4;189.53;5.0;0;23.0;11.0;8.0;C12H22O11;0;0;GASTRIC / METABOLISM;2.0
DIETHYLPROPION;4;205.3;2.6;20.31;5.0;0;15.0;2.0;0.0;C13H19NO;0;0;GASTRIC / METABOLISM;5.0
TIXOCORTOL PIVALATE;0;462.65;4.1;91.67;3.0;0;32.0;5.0;2.0;C26H38O5S;0;0;GASTRIC / METABOLISM;8.0
CHARCOAL, ACTIVATED;3;12.01;0.08;0.0;0.0;0;1.0;0.0;0.0;C;0;0;GASTRIC / METABOLISM;2.0
STREPTOMYCIN;4;581.58;-8.16;336.43;9.0;0;40.0;19.0;16.0;C21H39N7O12;1;0;GASTRIC / METABOLISM;6.0
OXANDROLONE;4;306.45;3.54;46.53;0.0;0;22.0;3.0;1.0;C19H30O3;0;0;GASTRIC / METABOLISM;5.0
NICOFETAMIDE;0;302.38;3.8;41.99;5.0;0;23.0;3.0;1.0;C20H18N2O;0;0;GASTRIC / METABOLISM;13.0
BETAMETHASONE DIPROPIONATE;4;504.6;3.82;106.97;6.0;0;36.0;7.0;1.0;C28H37FO7;0;0;GASTRIC / METABOLISM;10.0
TRIENTINE;4;146.24;-1.92;76.1;7.0;0;10.0;4.0;6.0;C6H18N4;1;0;GASTRIC / METABOLISM;0.0
STANOLONE;2;290.45;3.96;37.3;0.0;0;21.0;2.0;1.0;C19H30O2;0;0;GASTRIC / METABOLISM;5.0
MITIGLINIDE;3;315.41;2.97;57.61;5.0;0;23.0;4.0;1.0;C19H25NO3;0;1;GASTRIC / METABOLISM;8.0
METOPIMAZINE;0;445.61;3.28;83.71;6.0;0;30.0;6.0;2.0;C22H27N3O3S2;0;0;GASTRIC / METABOLISM;11.0
GRANISETRON;4;312.42;2.32;50.16;2.0;0;23.0;5.0;1.0;C18H24N4O;1;0;GASTRIC / METABOLISM;9.0
ALFACALCIDOL;4;400.65;6.59;40.46;6.0;0;29.0;2.0;2.0;C27H44O2;0;0;GASTRIC / METABOLISM;6.0
DEXFENFLURAMINE;4;231.26;3.25;12.03;4.0;0;16.0;1.0;1.0;C12H16F3N;1;0;GASTRIC / METABOLISM;4.0
NORETHANDROLONE;3;302.46;4.27;37.3;1.0;0;22.0;2.0;1.0;C20H30O2;0;0;GASTRIC / METABOLISM;6.0
NABILONE;4;372.55;6.26;46.53;6.0;0;27.0;3.0;1.0;C24H36O3;0;0;GASTRIC / METABOLISM;7.0
MINOCYCLINE;4;457.48;0.19;164.63;3.0;0;33.0;10.0;6.0;C23H27N3O7;0;1;GASTRIC / METABOLISM;12.0
