Name;Max Phase;Molecular Weight;AlogP;Topological Polar Surface Area;Rotatable Bond Count;Inorganic Flag;Heavy Atom Count;Hydrogen Bond Acceptor Count;Hydrogen Bond Donor Count;Molecular Formula;positive charge;negative charge;double bond equivalents
SONECLOSAN;0;255.1;4.49;29.46;2.0;0;16.0;2.0;1.0;C12H8Cl2O2;0;0;8.0
THIDIAZURON;0;220.26;2.18;66.91;2.0;0;15.0;5.0;2.0;C9H8N4OS;0;1;8.0
3-OXO-ERYTHRODIOL;0;440.71;7.35;37.3;1.0;0;32.0;2.0;1.0;C30H48O2;0;0;7.0
TONAZOCINE MESYLATE;0;453.65;4.85;40.54;7.0;0;26.0;3.0;1.0;C24H39NO5S;1;0;6.0
LANDOMYCIN V;0;957.03;2.24;268.05;10.0;0;68.0;19.0;7.0;C49H64O19;0;0;18.0
GOB C;0;390.39;0.45;139.84;5.0;0;28.0;8.0;6.0;C20H22O8;0;0;10.0
AGELASINE L;0;458.09;5.36;60.61;5.0;0;31.0;5.0;2.0;C26H40ClN5;0;0;9.0
T-817;2;291.42;2.53;32.7;7.0;0;20.0;3.0;1.0;C16H21NO2S;0;0;7.0
2-Chloro-3-morpholino-1,4-naphthoquinone;0;277.71;1.85;46.61;1.0;0;19.0;4.0;0.0;C14H12ClNO3;0;0;9.0
CONESSINE;0;356.6;4.81;6.48;1.0;0;26.0;2.0;0.0;C24H40N2;1;0;6.0
LOMBAZOLE;0;344.85;5.84;17.82;4.0;0;25.0;2.0;0.0;C22H17ClN2;0;0;15.0
PLURAMYCIN;0;772.89;5.02;168.58;7.0;0;56.0;13.0;2.0;C43H52N2O11;0;0;19.0
PTAEROXYLIN;0;258.27;2.69;59.67;0.0;0;19.0;4.0;1.0;C15H14O4;0;0;9.0
NOREUGENIN;0;192.17;1.51;70.67;0.0;0;14.0;4.0;2.0;C10H8O4;0;0;7.0
PHOTODEOXYTRIDACHIONE;0;342.48;5.09;39.44;4.0;0;25.0;3.0;0.0;C22H30O3;0;0;8.0
SALZMANOLIN;0;654.93;5.8;145.91;25.0;0;46.0;9.0;5.0;C37H66O9;0;0;5.0
DEXISOMETHEPTENE;2;141.26;2.34;12.03;4.0;0;10.0;1.0;1.0;C9H19N;1;0;1.0
FLUTONIDINE;0;193.22;1.51;36.42;1.0;0;14.0;3.0;2.0;C10H12FN3;1;0;6.0
WITHAMETELIN I;0;468.59;3.37;85.36;1.0;0;34.0;6.0;1.0;C28H36O6;0;0;11.0
TEBIPENEM PIVOXIL HYDROBROMIDE;1;578.55;1.67;108.74;6.0;0;33.0;9.0;1.0;C22H32BrN3O6S2;0;0;8.0
PHENBUTAZONE SODIUM GLYCERATE;0;422.46;3.68;47.16;5.0;0;23.0;4.0;1.0;C22H27N2NaO5;0;0;10.5
MOLEPHANTIN;0;346.38;1.8;89.9;2.0;0;25.0;6.0;1.0;C19H22O6;0;0;9.0
NICAMETATE;0;222.29;1.58;42.43;6.0;0;16.0;4.0;0.0;C12H18N2O2;1;0;5.0
SODIUM SARCOHYDROQUINONE SULFATE A;0;604.87;11.01;63.6;19.0;0;41.0;4.0;1.0;C36H53NaO4S;0;1;10.5
HYPOPHAOL;0;362.42;2.88;66.38;9.0;0;26.0;6.0;1.0;C20H26O6;0;0;8.0
TEROXALENE;0;457.1;7.1;15.71;11.0;0;32.0;3.0;0.0;C28H41ClN2O;0;0;9.0
INTRAZOLE;0;337.77;3.09;76.46;3.0;0;24.0;6.0;1.0;C17H12ClN5O;0;1;14.0
DIPHOXAZIDE;0;298.34;1.48;78.43;4.0;0;22.0;5.0;3.0;C17H18N2O3;0;0;10.0
SITALIDONE;0;481.01;4.49;106.94;6.0;0;32.0;7.0;3.0;C23H29ClN2O5S;0;0;10.0
ISOMOLPAN HYDROCHLORIDE;0;283.8;2.74;32.7;2.0;0;18.0;3.0;1.0;C15H22ClNO2;1;0;5.0
TRIBUZONE;0;364.44;3.99;57.69;5.0;0;27.0;5.0;0.0;C22H24N2O3;0;1;12.0
AIGIALOMYCIN B;0;380.39;0.82;128.98;1.0;0;27.0;8.0;4.0;C19H24O8;0;0;8.0
ROFLEPONIDE;0;468.54;2.98;93.06;4.0;0;33.0;6.0;2.0;C25H34F2O6;0;0;8.0
ADROGOLIDE;0;399.51;4.1;64.63;4.0;0;28.0;5.0;1.0;C22H25NO4S;1;0;11.0
CANBISOL;0;374.57;6.06;49.69;6.0;0;27.0;3.0;2.0;C24H38O3;0;0;6.0
PIPERPHENIDOL;0;275.44;3.66;23.47;6.0;0;20.0;2.0;1.0;C18H29NO;1;0;5.0
CYCLOBARBITAL CALCIUM;4;510.6;1.25;75.27;2.0;0;17.0;5.0;2.0;C24H30CaN4O6;0;0;12.0
CHAETOVIRIDIN H;0;398.46;3.09;89.9;6.0;0;29.0;6.0;1.0;C23H26O6;0;0;11.0
ARTHRININ B;0;326.39;2.99;66.76;1.0;0;24.0;4.0;2.0;C20H22O4;0;0;10.0
ROSE BENGAL SODIUM I 125;0;1013.64;9.0;87.74;2.0;0;33.0;5.0;2.0;C20H2Cl4I4Na2O5;0;1;16.0
TECHNETIUM  ETIFENIN;0;739.7;1.6135189899884033;225.0;14.0;0;47.0;12.0;3.0;C32H41N4O10Tc;0;0;14.5
MOTEXAFIN LUTETIUM;0;1166.14;3.036444109635434;246.0;28.0;0;73.0;20.0;3.0;C52H72LuN5O14;0;0;19.5
CALCIUM BROMIDE;0;199.89;-1.0;0.0;0.0;1;3.0;2.0;0.0;Br2Ca;0;0;0.0
LEDEBOURIELLOL;0;374.39;2.58;106.2;3.0;0;27.0;7.0;2.0;C20H22O7;0;0;10.0
LEVOPROPYLHEXEDRINE;0;155.28;2.56;12.03;3.0;0;11.0;1.0;1.0;C10H21N;1;0;1.0
BELAPERIDONE;0;379.44;2.56;58.1;4.0;0;28.0;5.0;1.0;C22H22FN3O2;1;0;13.0
T988 C;0;480.57;1.66;108.9;2.0;0;33.0;8.0;4.0;C23H20N4O4S2;0;0;16.0
AMYL NITRITE;4;234.3;1.5630560610459543;38.7;4.0;0;8.0;3.0;0.0;C10H22N2O4;0;0;1.0
KUMATAKENIN;0;314.29;2.89;89.13;3.0;0;23.0;6.0;2.0;C17H14O6;0;0;11.0
BISLEUCONOTHINE A;0;576.83;7.52;43.67;3.0;0;43.0;5.0;2.0;C38H48N4O;1;0;17.0
TRICHODERMAKETONE A;0;296.36;1.46;75.99;5.0;0;21.0;5.0;2.0;C16H24O5;0;0;5.0
ARTILIDE FUMARATE;0;857.19;3.77;69.64;13.0;0;25.0;5.0;2.0;C42H72N4O10S2;1;0;9.0
(-)-LICARIN B;0;324.38;4.69;36.92;3.0;0;24.0;4.0;0.0;C20H20O4;0;0;11.0
AESCULIOSIDE IID;0;897.07;0.92;282.59;10.0;0;63.0;17.0;10.0;C46H72O17;0;1;11.0
VIPIVOTIDE TETRAXETAN LUTETIUM;3;1214.1;1.4133048719126862;374.0;24.0;0;75.0;20.0;8.0;C49H68LuN9O16;0;0;20.5
GLUCURONIC ACID;0;194.14;-3.29;135.29;5.0;0;13.0;7.0;5.0;C6H10O7;0;1;2.0
LAMESTICUMIN B;0;488.75;6.85;66.76;7.0;0;35.0;4.0;2.0;C31H52O4;0;0;6.0
4'-HYDROXYWOGONIN;0;300.27;2.59;100.13;2.0;0;22.0;6.0;3.0;C16H12O6;0;0;11.0
IPAZILIDE;0;390.53;4.07;50.16;10.0;0;29.0;5.0;1.0;C24H30N4O;1;0;12.0
KLYMOLLIN H;0;540.61;1.7;147.19;6.0;0;38.0;11.0;1.0;C27H40O11;0;0;8.0
SINULAFLEXIOLIDE E;0;424.53;3.07;94.59;3.0;0;30.0;7.0;1.0;C23H36O7;0;0;6.0
CEFAZAFLUR SODIUM;0;492.46;0.29;130.31;7.0;0;29.0;10.0;2.0;C13H12F3N6NaO4S3;0;1;9.5
TOQUIZINE;0;391.52;3.44;55.09;2.0;0;29.0;6.0;1.0;C23H29N5O;0;0;12.0
CITENAMIDE;0;235.29;2.79;43.09;1.0;0;18.0;2.0;2.0;C16H13NO;0;0;11.0
NICOCODINE;0;404.47;2.76;60.89;3.0;0;30.0;6.0;0.0;C24H24N2O4;1;0;14.0
TEFLUTIXOL;0;454.53;4.83;26.71;6.0;0;31.0;3.0;1.0;C23H26F4N2OS;0;0;10.0
Fe complex;0;695.5;3.7613104004360713;60.9;2.0;0;23.0;6.0;0.0;C32H37FeN3O11+3;0;0;16.0
PERFLISOPENT;0;288.03;4.02;0.0;1.0;0;17.0;0.0;0.0;C5F12;0;0;0.0
THIPHENAMIL HYDROCHLORIDE;0;363.95;4.42;20.31;8.0;0;23.0;2.0;0.0;C20H26ClNOS;1;0;8.0
PROPYLIODONE;4;447.01;2.01;48.3;4.0;0;16.0;4.0;0.0;C10H11I2NO3;0;0;5.0
TRUXIPICURIUM;0;604.88;6.71;52.6;14.0;0;44.0;6.0;0.0;C38H56N2O4+2;0;0;12.0
BUSSEIHYDROQUINONE C;0;368.43;5.16;75.99;5.0;0;27.0;5.0;2.0;C22H24O5;0;1;11.0
HYDROXYPYRIDINE TARTRATE;0;227.17;-1.21;116.95;4.0;0;16.0;7.0;3.0;C9H9NO6;0;1;6.0
FLUTOMIDATE;0;262.28;2.81;44.12;4.0;0;19.0;4.0;0.0;C14H15FN2O2;0;0;8.0
EUPROCIN HYDROCHLORIDE;0;454.48;5.42;32.7;7.0;0;28.0;3.0;1.0;C25H37Cl2NO2;1;0;7.0
LY-2874455;1;444.32;4.76;88.85;7.0;0;30.0;7.0;2.0;C21H19Cl2N5O2;0;0;14.0
GANODERIC ACID LM2;0;514.66;4.05;128.97;5.0;0;37.0;7.0;3.0;C30H42O7;0;1;10.0
ALTROPANE;3;429.27;3.88;29.54;4.0;0;23.0;3.0;0.0;C18H21FINO2;0;0;8.0
FISCHEROSIDES B;0;704.72;0.34;249.97;7.0;0;50.0;15.0;8.0;C35H44O15;0;0;14.0
POLIDRONIUM CHLORIDE;0;557.0;2.8467431358212822;121.0;20.0;0;34.0;9.0;6.0;C22H48Cl3N3O6;0;0;0.0
BUFEZOLAC;0;334.42;4.5;55.12;6.0;0;25.0;4.0;1.0;C21H22N2O2;0;1;12.0
OXADIMEDINE;0;295.39;3.4;32.51;6.0;0;22.0;4.0;0.0;C18H21N3O;1;0;10.0
CROMITRILE;0;405.37;1.66;147.15;7.0;0;30.0;10.0;2.0;C20H15N5O5;0;1;16.0
PRAZEPINE;0;280.42;3.55;6.48;4.0;0;21.0;2.0;0.0;C19H24N2;1;0;9.0
NORTHERN MONOSACCHARIDE;0;528.73;3.94;106.84;10.0;0;37.0;8.0;3.0;C29H52O8;0;0;4.0
NORACYMETHADOL HYDROCHLORIDE;0;375.94;4.31;38.33;8.0;0;25.0;3.0;1.0;C22H30ClNO2;1;0;8.0
TIBENELAST;0;266.32;3.4;55.76;5.0;0;18.0;4.0;1.0;C13H14O4S;0;1;7.0
SPIRENDOLOL;0;345.48;3.5;58.56;5.0;0;25.0;4.0;2.0;C21H31NO3;1;0;7.0
SULAMSEROD HYDROCHLORIDE;0;482.43;1.92;110.96;8.0;0;29.0;8.0;3.0;C19H29Cl2N3O5S;0;0;6.0
ANEMARCOUMARIN A;0;268.27;2.8;70.67;2.0;0;20.0;4.0;2.0;C16H12O4;0;0;11.0
VALDIPROMIDE;0;185.31;2.86;43.09;7.0;0;13.0;2.0;2.0;C11H23NO;0;0;1.0
SALVINORIN A;1;432.47;3.0;109.11;3.0;0;31.0;8.0;0.0;C23H28O8;0;0;10.0
IMAFEN;0;187.25;1.0;27.63;1.0;0;14.0;3.0;1.0;C11H13N3;1;0;7.0
TRAXANOX;0;299.68;2.17;97.56;1.0;0;21.0;7.0;1.0;C13H6ClN5O2;0;1;13.0
ATHEROSPERMIDINE;0;305.29;3.18;57.65;1.0;0;23.0;5.0;0.0;C18H11NO4;0;0;14.0
VELUSETRAG HYDROCHLORIDE;0;541.11;1.56;111.95;8.0;0;35.0;9.0;2.0;C25H37ClN4O5S;0;0;9.0
RUBIDIUM;3;85.47;-1.0;0.0;0.0;1;1.0;0.0;0.0;Rb;0;0;0.0
SULFAMETHOXYPYRIDAZINE ACETYL;0;322.35;0.81;115.48;4.0;0;22.0;8.0;2.0;C13H14N4O4S;0;0;9.0
GUAIAZULENE SULFONIC ACID;0;278.37;3.78;54.37;2.0;0;19.0;3.0;1.0;C15H18O3S;0;1;7.0
4-HYDROXYPHENETHYL TOSYLCARBAMATE;0;335.38;2.36;92.7;5.0;0;23.0;6.0;2.0;C16H17NO5S;0;1;9.0
3,4-DI-(2,4-DICHLOROPHENYL)FUROXAN;0;376.03;5.26;52.97;2.0;0;22.0;4.0;0.0;C14H6Cl4N2O2;0;0;11.0
FILENADOL;0;265.31;1.17;51.16;3.0;0;19.0;5.0;1.0;C14H19NO4;0;0;6.0
ADATANSERIN HYDROCHLORIDE;0;405.97;1.93;61.36;5.0;0;27.0;6.0;1.0;C21H32ClN5O;0;0;8.0
EURYCOMALIDE B;0;348.4;0.36;104.06;0.0;0;25.0;6.0;3.0;C19H24O6;0;0;8.0
IOTRANIC ACID;0;1243.87;2.477295334668536;161.0;16.0;0;41.0;9.0;4.0;C24H22I6N2O9;0;0;12.0
CLOXOTESTOSTERONE;0;435.82;5.59;46.53;2.0;0;27.0;3.0;1.0;C21H29Cl3O3;0;0;6.0
CEFQUINOME SULFATE;0;626.7;-0.65;153.92;7.0;0;36.0;11.0;3.0;C23H26N6O9S3;0;1;14.0
ECKOL;0;372.29;3.61;149.07;2.0;0;27.0;9.0;6.0;C18H12O9;0;0;13.0
PIPERAZINE CITRATE;4;642.66;-1.0987225241999514;337.0;10.0;0;45.0;21.0;15.0;C24H46N6O14;0;0;5.0
CINCHONIDINE SULFATE;0;686.88;3.16;36.36;3.0;0;22.0;3.0;1.0;C38H46N4O6S;1;0;18.0
RHUSCHALCONE I;0;538.55;6.41;122.52;10.0;0;40.0;8.0;3.0;C32H26O8;0;0;20.0
FENCLEXONIUM;0;298.49;5.29;0.0;5.0;0;22.0;1.0;0.0;C21H32N+;1;0;6.5
METHYLPREDNISOLONE SULEPTANATE;0;673.8;3.04;175.58;13.0;0;45.0;11.0;3.0;C33H48NNaO10S;0;1;10.5
CINCHONAIN IC;0;452.42;2.69;156.91;2.0;0;33.0;9.0;6.0;C24H20O9;0;0;15.0
ISOSTEARYL ALCOHOL;0;270.5;6.1;20.23;15.0;0;19.0;1.0;1.0;C18H38O;0;0;0.0
PENTAMETHONIUM BROMIDE;0;348.17;1.57;0.0;6.0;0;13.0;2.0;0.0;C11H28Br2N2;0;0;0.0
METIAZINIC ACID;0;271.34;3.55;40.54;2.0;0;19.0;3.0;1.0;C15H13NO2S;0;1;10.0
PIQUIZIL HYDROCHLORIDE;0;410.9;2.56;77.02;5.0;0;27.0;8.0;0.0;C19H27ClN4O4;0;0;8.0
SATERINONE;0;474.56;2.79;101.82;8.0;0;35.0;8.0;2.0;C27H30N4O4;0;0;15.0
SIMUFILAM;0;259.35;1.04;35.58;2.0;0;19.0;4.0;1.0;C15H21N3O;0;0;7.0
DOXAPROST;0;352.52;4.89;74.6;13.0;0;25.0;4.0;2.0;C21H36O4;0;1;4.0
LACTIVICIN;0;272.21;-1.62;122.24;3.0;0;19.0;9.0;2.0;C10H12N2O7;0;1;6.0
MOTAPIZONE;0;260.32;1.79;59.28;2.0;0;18.0;5.0;1.0;C12H12N4OS;0;0;9.0
BRUCINE SULFATE;0;887.02;2.11;51.24;2.0;0;29.0;6.0;0.0;C46H54N4O12S;1;0;22.0
CATHAFILINE;0;369.37;3.02;77.46;1.0;0;27.0;7.0;1.0;C20H19NO6;0;0;12.0
MAFODOTIN;0;925.18;3.83;212.27;27.0;0;66.0;17.0;3.0;C49H76N6O11;0;1;15.0
TURRAPUBIN H;0;614.69;2.99;155.03;7.0;0;44.0;11.0;1.0;C33H42O11;0;0;13.0
STEARYL FUMARIC ACID;0;368.56;6.43;63.6;19.0;0;26.0;4.0;1.0;C22H40O4;0;1;3.0
ARDISIANOSIDE F;0;1225.38;1.399919290761109;425.0;14.0;0;85.0;27.0;16.0;C58H96O27;0;0;11.0
FENALAMIDE;0;334.46;2.36;58.64;10.0;0;24.0;5.0;1.0;C19H30N2O3;1;0;6.0
SECURINEGA AMAMINE D;0;263.29;0.96;48.0;1.0;0;19.0;5.0;0.0;C14H17NO4;0;0;7.0
VENGLUSTAT MALATE;2;523.58;4.0;54.46;4.0;0;27.0;5.0;1.0;C24H30FN3O7S;1;0;11.0
CLOTHIXAMIDE MALEATE;0;674.17;4.38;35.58;6.0;0;30.0;4.0;1.0;C32H36ClN3O9S;0;0;16.0
DISTRONGYLOPHORINE;0;823.12;12.02;122.52;4.0;0;60.0;8.0;3.0;C52H70O8;0;1;18.0
DIMEFADANE;0;237.35;3.82;3.24;2.0;0;18.0;1.0;0.0;C17H19N;1;0;9.0
MESUPRINE HYDROCHLORIDE;0;430.95;2.03;107.89;9.0;0;27.0;7.0;4.0;C19H27ClN2O5S;1;0;7.0
TROXOLAMIDE;0;289.35;-0.96;112.93;5.0;0;20.0;7.0;4.0;C13H25N2O5;0;0;2.5
BECAMPANEL;0;330.19;-0.3;169.63;4.0;0;22.0;11.0;4.0;C10H11N4O7P;0;1;7.5
METOQUIZINE;0;377.49;2.96;55.09;1.0;0;28.0;6.0;1.0;C22H27N5O;0;0;12.0
KETHOXAL;0;148.16;-0.71;66.76;4.0;0;10.0;4.0;2.0;C6H12O4;0;0;1.0
ABUNIDAZOLE;0;305.33;2.41;101.42;3.0;0;22.0;7.0;2.0;C15H19N3O4;0;0;8.0
HEXAOXAZOLE DIVALINE;0;600.55;4.85;214.38;2.0;0;44.0;16.0;2.0;C28H24N8O8;0;0;21.0
TALETRECTINIB;1;405.48;4.43;77.47;7.0;0;30.0;6.0;3.0;C23H24FN5O;1;0;14.0
ZONISAMIDE SODIUM;0;236.23;1.95;92.51;2.0;0;14.0;5.0;4.0;C8H9N2NaO3S;1;0;5.5
MICROHELENIN F;0;276.33;1.78;63.6;0.0;0;20.0;4.0;1.0;C16H20O4;0;0;7.0
IODOXAMATE MEGLUMINE;4;1678.35;0.7402013625762365;396.0;31.0;0;70.0;22.0;16.0;C40H60I6N4O20;0;0;10.0
ALNIDITAN DIHYDROCHLORIDE;0;375.34;1.3;57.68;6.0;0;22.0;5.0;3.0;C17H28Cl2N4O;1;0;5.0
SALANTEL;0;638.03;6.39;66.4;4.0;0;28.0;4.0;2.0;C20H11Cl2I2NO3;0;1;14.0
SOMANTADINE;0;207.36;3.33;26.02;2.0;0;15.0;1.0;2.0;C14H25N;1;0;3.0
ROSARAMICIN BUTYRATE;0;651.84;4.02;141.2;9.0;0;46.0;11.0;1.0;C35H57NO10;0;0;8.0
MICROPEPTIN T 1;0;1051.21;2.377418966961806;306.0;17.0;0;76.0;13.0;9.0;C55H70N8O13;0;0;25.0
FANTRIDONE;0;280.37;3.11;25.24;4.0;0;21.0;3.0;0.0;C18H20N2O;1;0;10.0
ROXOPERONE;0;346.4;2.26;57.69;5.0;0;25.0;5.0;0.0;C19H23FN2O3;1;0;9.0
PIPEROGALIN;0;328.5;6.15;40.46;7.0;0;24.0;2.0;2.0;C22H32O2;0;0;7.0
SCHISANDILACTONE H;0;592.59;-1.32;195.35;1.0;0;42.0;13.0;4.0;C29H36O13;0;0;12.0
CALCIUM SACCHARATE;0;248.2;-4.355880604417047;161.0;3.0;0;15.0;8.0;4.0;C6H8CaO8;0;0;3.0
THALIMIRABINE;0;668.79;6.88;91.32;5.0;0;49.0;10.0;1.0;C39H44N2O8;0;0;19.0
PIBOSEROD HYDROCHLORIDE;0;405.97;3.67;46.5;6.0;0;27.0;5.0;1.0;C22H32ClN3O2;1;0;8.0
